,created_at,tweets
0,2019-12-14 01:43:38,Devonte is a weapon but Rob’s gonna be the guy this year #IUbb https://t.co/Bk2Ce0f5rx
1,2019-12-14 01:42:48,"Open, please! https://t.co/ZPvhhE8RJG"
2,2019-12-14 01:41:05,Taking over ‼️ #IUBB https://t.co/enlW1OSj7I
3,2019-12-14 01:36:34,@IUBarstool IU shooting 3s: https://t.co/4O52Ktn38Q
4,2019-12-14 01:32:59,Defense tonight. #IUBB https://t.co/f70VvrHu9J
5,2019-12-14 01:21:22,RT @IUBarstool: GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
6,2019-12-14 01:17:59,We. Want. More. #IUBB https://t.co/9GD6b3sK0x
7,2019-12-14 01:08:36,ONE HELL OF A START FOR THESE HOOSIERS #IUB
8,2019-12-14 00:46:55,RT @IUBarstool: GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
9,2019-12-14 00:34:14,RT @IUBarstool: GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
10,2019-12-14 00:15:54,WTH .... https://t.co/pd92UymVAj
11,2019-12-14 00:11:57,RT @IUBarstool: GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
12,2019-12-14 00:10:34,RT @IUBarstool: GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
13,2019-12-14 00:09:05,😂😂😂😂😂 https://t.co/gCqKghSKUr
14,2019-12-14 00:07:28,RT @IUBarstool: GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
15,2019-12-14 00:07:26,RT @IUBarstool: GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
16,2019-12-14 00:06:10,RT @IUBarstool: GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
17,2019-12-14 00:05:51,RT @IUBarstool: GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
18,2019-12-14 00:05:32,GAME DAY MOOD #IUBB https://t.co/YLL3gR5apI
19,2019-12-13 23:59:11,"@IUBarstool I could do without a Christmas story, otherwise the list is golden"
20,2019-12-13 23:29:45,RT @IUBarstool: Embrace debate. #IUB https://t.co/g3p90slY6o
21,2019-12-13 23:01:46,@IUBarstool https://t.co/vEKHVfS7an
22,2019-12-13 22:49:48,RT @IUBarstool: Embrace debate. #IUB https://t.co/g3p90slY6o
23,2019-12-13 22:48:12,Christmas Vacation at 3 is criminal and I’d like to report a crime https://t.co/C6ZCf4tbO1
24,2019-12-13 22:46:17,@IUBarstool https://t.co/yZiQAMamDR
25,2019-12-13 22:44:49,Embrace debate. #IUB https://t.co/g3p90slY6o
26,2019-12-13 03:34:54,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
27,2019-12-13 02:16:47,I still get goosebumps when I watch this! https://t.co/a32DvSFPjJ
28,2019-12-12 16:53:44,Even as a Purdue fan...this is a moment🚂🧊 https://t.co/YqT4AT1Xkn
29,2019-12-12 13:59:29,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
30,2019-12-12 05:43:37,@Cody_Banet_22 @IUBarstool Turn the phone sideways and expand the video and it's ok.
31,2019-12-12 02:39:10,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
32,2019-12-12 01:55:19,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
33,2019-12-12 00:29:27,@gutzy1234 @IUBarstool You lost to us in the tourney. Yea no one remembers that. Or our title. Yea guy.
34,2019-12-11 22:02:42,@johnny_brunk @jlbeeching @ChronicHoosier @crimsonquarry @IUBarstool @Hoosierzz
35,2019-12-11 21:30:40,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
36,2019-12-11 21:09:04,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
37,2019-12-11 21:00:54,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
38,2019-12-11 20:40:34,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
39,2019-12-11 19:28:11,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
40,2019-12-11 18:35:16,@IUBarstool Simba being embraced by the pridelands
41,2019-12-11 18:19:33,RT @cdingy23: I never noticed they gave the 3 points to kentucky🤣🤣 https://t.co/o4S7a0UkwM
42,2019-12-11 18:17:03,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
43,2019-12-11 18:12:13,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
44,2019-12-11 18:10:23,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
45,2019-12-11 18:01:30,"@swimfan1122 @IUBarstool My dad is a 1982 grad actually and I’m a 2017 grad haha from northwest Indiana, not near y… https://t.co/AQ9xuGYc1E"
46,2019-12-11 17:48:25,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
47,2019-12-11 17:37:29,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
48,2019-12-11 17:36:20,"@swimfan1122 @IUBarstool I was not on a team, but, ALL Hoosiers are we."
49,2019-12-11 17:32:52,@CatsWhoDab20 @IUBarstool I’m actually a 1984 grad and love IU. It’s just that I’m from Lexington and love UK more.
50,2019-12-11 17:30:59,RT @IUBarstool: https://t.co/vXPI6829LK
51,2019-12-11 17:30:31,@IUFAN417 @IUBarstool Which team were you on?
52,2019-12-11 17:27:56,"@IUBarstool Except, ""The Shot"" was from Keith Smart against Syracuse to win the 1987 NCAA Championship.  This is th… https://t.co/v2osr5Iqhm"
53,2019-12-11 17:27:52,@BarstoolStorrs @IUBarstool You left the front door open on that Justin Smith alley oop. 😂
54,2019-12-11 17:26:15,"@swimfan1122 @IUBarstool We have won a total of five Championships.  1940, 1953, 1976, 1981, and 1987."
55,2019-12-11 17:22:56,@IUBarstool I agree https://t.co/cAb54sIUah
56,2019-12-11 17:19:38,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
57,2019-12-11 17:00:46,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
58,2019-12-11 16:43:17,RT @IUBarstool: https://t.co/vXPI6829LK
59,2019-12-11 16:35:02,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
60,2019-12-11 16:22:42,@ballerboy1992 @IUBarstool But better than Da’ron Davis 😂 dude needs to practice lay ups
61,2019-12-11 16:10:05,https://t.co/MD6GJSfM1p https://t.co/zqYIvB5u9w
62,2019-12-11 16:08:43,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
63,2019-12-11 15:54:51,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
64,2019-12-11 15:49:29,@IUBarstool Lmao you must’ve been on some good drugs if you think Brunk was or ever will be player of the game.
65,2019-12-11 15:40:25,"iu fans on october 20: omfg why are purdue fans still celebrating beating ohio state
also iu fans: https://t.co/GQiis2dMQr"
66,2019-12-11 15:40:07,"""Unbelievable, Unbelievable, Unbelievable, can't believe it!""  @DickieV has hilarious play-calling, but still ranks… https://t.co/R09pzp1nuF"
67,2019-12-11 15:05:12,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
68,2019-12-11 15:04:51,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
69,2019-12-11 15:03:49,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
70,2019-12-11 15:02:27,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
71,2019-12-11 14:43:27,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
72,2019-12-11 14:39:02,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
73,2019-12-11 14:31:24,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
