,created_at,tweets
0,2019-12-14 01:35:28,"@independenceu It’s a real stretch to call yourself “IU” when @IUBloomington has been called that for what, a century?"
1,2019-12-14 01:33:06,"RT @IUBloomington: TONIGHT! 

@SNCMusic will host a gift drive @IUAuditorium as the doors open for the show. 🛍️🎁

The first 50 gifts (new,…"
2,2019-12-14 01:06:56,@IUBloomington https://t.co/7f6g8O3ReF
3,2019-12-14 01:05:27,"Straight No Chaser (@ IU Auditorium - @iubloomington in Bloomington, IN) https://t.co/v26AgoDN53"
4,2019-12-14 01:02:25,Getting pumped for the @SNCmusic “the Open Bar Tour” concert at @IUBloomington. https://t.co/dqQ6PS1vJw
5,2019-12-14 01:00:19,"RT @IUDining: Please remember that The Chocolate Moose and The Globe are both closing tomorrow, December 14 for the IMU Dining Renovation p…"
6,2019-12-14 00:37:48,@IUBloomington https://t.co/LATyii5jqg
7,2019-12-14 00:22:51,Lovely surprise to come across an ensemble playing seasonal music on my way to my car this evening. Love… https://t.co/U4mxQyihJo
8,2019-12-14 00:22:02,Thanks @TheFullRatchet for your support and the great conversation. Excited about where we are going with… https://t.co/CB2N9pxoEh
9,2019-12-14 00:21:04,RT @IUaaai: The @IUBloomington  African American Choral Ensemble had the awesome opportunity to record an original track with IU Soul Revue…
10,2019-12-14 00:20:18,The @IUBloomington  African American Choral Ensemble had the awesome opportunity to record an original track with I… https://t.co/YJf7iTKYzi
11,2019-12-13 23:57:39,@IUBloomington My heart ❤️
12,2019-12-13 23:45:13,Be Insanely Curious + other advice for students @IUBloomington @UofA @MichiganRoss  https://t.co/O9aNXn5nmm https://t.co/RjkWCll8kE
13,2019-12-13 23:30:33,"@thornhillmom I took German from 6th grade through @IUBloomington 
It didn’t take. 
Learning at night wouldn’t have helped"
14,2019-12-13 23:25:29,@audreybaughnn Looping in @IUBCampusBus for assistance.
15,2019-12-13 23:25:02,@Alexis146171080 Congratulations! Welcome to the family! ⚪️🔴
16,2019-12-13 23:23:49,@IUBloomington https://t.co/pmobFuhnor
17,2019-12-13 23:23:02,@IUBloomington https://t.co/FBKVdSGdn7
18,2019-12-13 23:04:48,https://t.co/z7Iq20JSaZ https://t.co/fdDc5BZS9l
19,2019-12-13 22:51:27,@IUBloomington https://t.co/Eeu1K9QlPY
20,2019-12-13 22:47:43,@IUBloomington https://t.co/pD9mVPqFIJ
21,2019-12-13 22:46:15,"@MDesbarres @RollingStones @thestones @IUBloomington @RollingStones 
#TwitterEdit 
Please 😔"
22,2019-12-13 22:44:51,"@MDesbarres @TheWho @IUBloomington My seat, up 
and behind stage. 
17,000 Assembly Hall.
@petetownsend sang 'teenag… https://t.co/B1v0YtXsGJ"
23,2019-12-13 22:42:27,You are amazing and we are proud of you @HaifaaMansour @IUcinema @IUBloomington https://t.co/SyZDet2CeL
24,2019-12-13 22:40:47,"RT @RebeccaSpang: Last day of semester: we still have 30 people for afternoon mini-conference on Benjamin Constant's ""Ancient and Modern Li…"
25,2019-12-13 22:39:03,"@UmarCheema1 I started my schooling in a remote village of punjab pakistan 🇵🇰 where there was no furniture, roof or… https://t.co/EKh61evuKc"
26,2019-12-13 22:37:38,"@MDesbarres @RollingStones Saw @thestones ,
@IUBloomington 
Middle '70s
'Phallus Tour' 😵😱
It was
only rock and roll
but I liked it..."
27,2019-12-13 22:33:41,"@MDesbarres @TheWho I had the pleasure 
of seeing @TheWho 
at @IUBloomington 
middle '70s. With
Keith Moon. Yes. 
I… https://t.co/MKW2q9eS7N"
28,2019-12-13 22:21:56,@IUBloomington Wow!! These are amazing!!
29,2019-12-13 22:16:24,RT @Alexis146171080: #IUsaidyes @IUBloomington Accepted and Enrolled! https://t.co/sgO3wJLXnr
30,2019-12-13 22:16:10,#IUsaidyes @IUBloomington Accepted and Enrolled! https://t.co/sgO3wJLXnr
31,2019-12-13 22:10:42,RT @RandyStine: Tonight!  @SNCmusic @IUAuditorium @IUBloomington #StraightNoChaser https://t.co/jG3h8bsC6X
32,2019-12-13 22:09:24,my last brain cell at the bus stop repeatedly opening One.IU and wondering why it’s not showing the bus routes… https://t.co/x5jqJUtDQw
33,2019-12-13 22:07:18,@IUBloomington The apples were purely decorative and have since returned home
34,2019-12-13 22:02:05,"Last Georgian conversation group of the year @IUBloomington, feat. some Georgian snacks courtesy of our Tulsa sourc… https://t.co/0SOpSZVNlb"
35,2019-12-13 22:00:49,"Please remember that The Chocolate Moose and The Globe are both closing tomorrow, December 14 for the IMU Dining Re… https://t.co/drSchU1OsD"
36,2019-12-13 21:34:49,RT @ruthwitmer: Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community! @IUMediaSchool…
37,2019-12-13 21:23:49,RT @iaramadan: Finally .. you are amazing @HaifaaMansour at @IUBloomington @IUcinema https://t.co/GtRE7kpXuB
38,2019-12-13 21:21:18,Finally .. you are amazing @HaifaaMansour at @IUBloomington @IUcinema https://t.co/GtRE7kpXuB
39,2019-12-13 21:21:02,RT @IUDining: Some IMU Dining locations will remain closed during the IMU renovation. Some locations will temporarily open over semester br…
40,2019-12-13 21:19:50,RT @ruthwitmer: Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community! @IUMediaSchool…
41,2019-12-13 21:17:42,RT @ruthwitmer: Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community! @IUMediaSchool…
42,2019-12-13 21:15:45,RT @CampusSonar: .@morgncam from @IUBloomington shares their TikTok strategy with @HelixEducation in the Enrollment Growth University podca…
43,2019-12-13 21:15:29,RT @CampusSonar: .@morgncam from @IUBloomington shares their TikTok strategy with @HelixEducation in the Enrollment Growth University podca…
44,2019-12-13 21:14:58,.@morgncam from @IUBloomington shares their TikTok strategy with @HelixEducation in the Enrollment Growth Universit… https://t.co/v1Tju8kYW1
45,2019-12-13 20:59:20,RT @PhillipHoosier: Go off then @IUBloomington https://t.co/HCUlIjXfDP
46,2019-12-13 20:55:57,RT @ruthwitmer: Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community! @IUMediaSchool…
47,2019-12-13 20:50:46,One word for @IUBloomington #Light — 1820-2020. https://t.co/t1a0jmIhrL
48,2019-12-13 20:49:02,"TONIGHT! 

@SNCMusic will host a gift drive @IUAuditorium as the doors open for the show. 🛍️🎁

The first 50 gifts (… https://t.co/9VUU8Ed3wu"
49,2019-12-13 20:45:19,"Last day of semester: we still have 30 people for afternoon mini-conference on Benjamin Constant's ""Ancient and Mod… https://t.co/qCOPCBphwX"
50,2019-12-13 20:34:47,"@SethOnHoops @IUBloomington It's not up to them. Staff is on record, several times, saying Knight knows he is alway… https://t.co/acvrM4be7V"
51,2019-12-13 20:33:36,@IUBloomington https://t.co/EE1o4uUcct
52,2019-12-13 20:26:57,RT @ruthwitmer: Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community! @IUMediaSchool…
53,2019-12-13 20:25:44,RT @ruthwitmer: Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community! @IUMediaSchool…
54,2019-12-13 20:20:13,@IndianaFootball @taxslayerbowl @IUAA @IUBloomington @IUHoosiers https://t.co/TqZymaGZJ9
55,2019-12-13 20:17:40,RT @FrewJohnathan: @IUBloomington got this one last night! https://t.co/g5x2InxwEB
56,2019-12-13 20:15:35,@EmPreske How did I miss this when we were in school!? https://t.co/uw2SSthw5A
57,2019-12-13 20:10:03,Take the PLUNGE into finals by jumping 33 feet off a platform into the pool. 💦 Sign up here: https://t.co/1P3xH4B9Ar https://t.co/FEeitjkzqU
58,2019-12-13 20:09:09,RT @FrewJohnathan: @IUBloomington got this one last night! https://t.co/g5x2InxwEB
59,2019-12-13 20:04:36,RT @adam_lovan: @CoachAllenIU even loves IM football. Coach Allen cares about the students!! @IUBloomington https://t.co/QfM61YZ5YU
60,2019-12-13 20:00:44,RT @ruthwitmer: Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community! @IUMediaSchool…
61,2019-12-13 19:59:50,RT @ruthwitmer: Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community! @IUMediaSchool…
62,2019-12-13 19:56:34,RT @ruthwitmer: Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community! @IUMediaSchool…
63,2019-12-13 19:54:42,"RT @CGlobalPolicy: Sumit Ganguly, professor at @IUBloomington writes on Indian Secularism in @ForeignPolicy. Join him, @AzeemIbrahim, @Kamr…"
64,2019-12-13 19:46:07,@CoachAllenIU even loves IM football. Coach Allen cares about the students!! @IUBloomington https://t.co/QfM61YZ5YU
65,2019-12-13 19:44:51,"RT @CGlobalPolicy: Sumit Ganguly, professor at @IUBloomington writes on Indian Secularism in @ForeignPolicy. Join him, @AzeemIbrahim, @Kamr…"
66,2019-12-13 19:42:38,Thank you Fall 2019 @idsnews staff. Great job this semester covering @IUBloomington and the BTown community!… https://t.co/ulBOO0NLSu
67,2019-12-13 19:37:07,@IUBloomington 🥰 https://t.co/ejYBmilV0H
68,2019-12-13 19:31:39,@IUBloomington got this one last night! https://t.co/g5x2InxwEB
