,created_at,tweets
0,2019-12-14 01:25:35,@KirkHaston35IU they just showed your winning shot against MSU during a timeout at the @IUHoosiers basketball game… https://t.co/F91VgUXi9I
1,2019-12-14 01:24:50,"@jgerdom @IUArtifacts @IndianaMBB @IUHoosiers Email the Archives, we can help you out! archives at indiana dot edu"
2,2019-12-14 01:21:49,IU will be so much better off when Green graduates. Not a team player. I have been impressed with Archie either. @IUHoosiers
3,2019-12-14 01:17:37,Enjoying some @IUHoosiers bb https://t.co/HWTBeScBNi
4,2019-12-14 01:16:38,@dolemiles https://t.co/CmgzrNAxQp
5,2019-12-14 01:15:42,@IUArtifacts @IUBArchives @IndianaMBB @IUHoosiers I agree with others... How do we get a reprint of this?
6,2019-12-14 01:09:06,Let’s get another W!! @TheofficialEG10 @YogiFerrell11 https://t.co/2PmZsisKnt
7,2019-12-14 01:02:20,"RT @IUHoosiers: 🏀: vs. Nebraska
🕗: 8:00p
📺: @BigTenNetwork 
📝: https://t.co/2NJWf4XlGS
📱: @IndianaMBB https://t.co/als1yd07Pf"
8,2019-12-14 01:02:18,"RT @IUArtifacts: This amazing poster, part of the @IUBArchives collection, highlights the official dedication of the new Fieldhouse, Decemb…"
9,2019-12-14 00:37:11,"RT @IUHoosiers: 🏀: vs. Nebraska
🕗: 8:00p
📺: @BigTenNetwork 
📝: https://t.co/2NJWf4XlGS
📱: @IndianaMBB https://t.co/als1yd07Pf"
10,2019-12-14 00:36:30,"RT @IUHoosiers: 🏀: vs. Nebraska
🕗: 8:00p
📺: @BigTenNetwork 
📝: https://t.co/2NJWf4XlGS
📱: @IndianaMBB https://t.co/als1yd07Pf"
11,2019-12-14 00:33:39,"If @IndianaMBB G Rob Phinisee stays healthy, look out. Here's why … https://t.co/nLsTnIPX9f"
12,2019-12-14 00:30:50,RT @IURecSports: Thanks ⁦@CoachAllenIU⁩ for coming to the Intramural Flag Football Championship game! #LEO #grit #IUFB https://t.co/wYTLV8T…
13,2019-12-14 00:24:34,Thanks @iuhoosiers for the awesome seats! https://t.co/sEBgql4lx6
14,2019-12-14 00:21:06,@IUArtifacts @IUBArchives @IndianaMBB @IUHoosiers Would love to have a reprint of this.
