,created_at,tweets
0,2019-12-14 01:28:25,Congratulations to @timgbaldwinjr! He was a great student with Mr. Tibbens last year and has a bright future at… https://t.co/fhDd1cocK9
1,2019-12-14 00:34:48,"@IndianaUniv candy stripes are ugly enough, but orange stripes are just plain awful https://t.co/md0Q1xid28"
2,2019-12-14 00:21:04,RT @IUaaai: The @IUBloomington  African American Choral Ensemble had the awesome opportunity to record an original track with IU Soul Revue…
3,2019-12-14 00:20:18,The @IUBloomington  African American Choral Ensemble had the awesome opportunity to record an original track with I… https://t.co/YJf7iTKYzi
4,2019-12-13 23:41:43,RT @IUcinema: What a great Jorgensen Guest Filmmaker conversation! And there's more to come. Don't miss Haifaa al-Mansour's newest film THE…
5,2019-12-13 23:26:58,@BjornReichhardt @IndianaUniv Ккк the candidate resembles lAtwood bagsh
6,2019-12-13 23:26:29,"RT @BjornReichhardt: Job opening at @IndianaUniv!!!
https://t.co/POKhJoOcV1"
7,2019-12-13 23:25:29,@VisitIndiana @citybloomington @IndianaUniv Vote @SwitchyardPark for Best New Attraction! https://t.co/cwL6mDaavy
8,2019-12-13 23:23:44,@IndianaUniv @IUMedSchool Can’t wait until this prognostic info is turned into treatment decisions. #TNBC
9,2019-12-13 23:18:44,RT @IUMedSchool: Discovery by @IndianaUniv School of Medicine researchers is an important step forward against triple negative breast cance…
10,2019-12-13 23:16:26,RT @IUMedSchool: Discovery by @IndianaUniv School of Medicine researchers is an important step forward against triple negative breast cance…
11,2019-12-13 22:41:37,What a great Jorgensen Guest Filmmaker conversation! And there's more to come. Don't miss Haifaa al-Mansour's newes… https://t.co/siQvcOGJLq
12,2019-12-13 22:38:58,RT @icanatiu: Thanks @paydar for representing Indiana University at such a special event that we hold close to our hearts ❤️ Your words wer…
13,2019-12-13 22:38:56,RT @ICANdogs: @icanatiu @paydar @IndianaUniv It was such a honor having you there last night. You bestowed hope and joy in our handlers hea…
14,2019-12-13 22:24:46,RT @IUGlobalHealth: The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to recipr…
15,2019-12-13 22:24:33,RT @IUGlobalHealth: The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to recipr…
16,2019-12-13 22:20:10,"RT @IndianaUniv: Check out the @noonedition from today where President McRobbie talks about plans for the IU Bicentennial. 

👂: https://t.c…"
17,2019-12-13 22:15:26,"RT @tech4msbritt: it was a pleasure meeting panel moderator @maureenbiggers, director of the @IndianaUniv center of excellence for women &amp;…"
18,2019-12-13 21:59:58,RT @IUGlobalHealth: The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to recipr…
19,2019-12-13 21:09:55,"RT @IndianaUniv: Check out the @noonedition from today where President McRobbie talks about plans for the IU Bicentennial. 

👂: https://t.c…"
20,2019-12-13 21:04:23,RT @IUGlobalHealth: The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to recipr…
21,2019-12-13 20:56:16,"Check out the @noonedition from today where President McRobbie talks about plans for the IU Bicentennial. 

👂:… https://t.co/YaHQLmKeBD"
22,2019-12-13 20:29:46,"RT @ceeller: We have a gem nestled on the @IUPUI campus. The @BradburyCenter provides amazing resources for researchers, students, and the…"
23,2019-12-13 20:29:43,RT @IUGlobalHealth: The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to recipr…
24,2019-12-13 20:17:26,RT @IUMedSchool: Results from @IndianaUniv School of Medicine in @SABCSSanAntonio plenary session show the ability to predict relapse &amp; dis…
25,2019-12-13 20:16:02,"RT @ampathkenya: New global health grant opportunity focused on reciprocal innovation for researchers at @IndianaUniv, @LifeAtPurdue
and @n…"
26,2019-12-13 20:15:46,RT @IUGlobalHealth: The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to recipr…
27,2019-12-13 20:14:35,RT @IUMedSchool: Researchers from @IndianaUniv School of Medicine have discovered how to predict whether triple negative breast cancer will…
28,2019-12-13 20:14:18,RT @IUMedSchool: Discovery by @IndianaUniv School of Medicine researchers is an important step forward against triple negative breast cance…
29,2019-12-13 20:03:40,RT @IUGlobalHealth: The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to recipr…
30,2019-12-13 20:03:05,RT @IUGlobalHealth: The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to recipr…
31,2019-12-13 19:54:15,"RT @BjornReichhardt: Job opening at @IndianaUniv!!!
https://t.co/POKhJoOcV1"
32,2019-12-13 19:38:36,"New global health grant opportunity focused on reciprocal innovation for researchers at @IndianaUniv, @LifeAtPurdue… https://t.co/xrTUuenqNl"
33,2019-12-13 19:36:41,@IUMedSchool @IndianaUniv Interesting. Hope they can offer something to help those at risk soon!
34,2019-12-13 19:31:15,"New global health grant opportunity focused on reciprocal innovation for researchers at @IndianaUniv, @LifeAtPurdue… https://t.co/FW0nlV4Mwb"
35,2019-12-13 19:23:08,The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to re… https://t.co/RB6zoeBeB7
36,2019-12-13 19:20:54,The @IndianaCTSI and @IndianaUniv Center for Global Health have released two requests for application related to re… https://t.co/IPvQOLCARh
37,2019-12-13 18:25:01,"Job opening at @IndianaUniv!!!
https://t.co/POKhJoOcV1"
38,2019-12-13 18:21:46,"We have a gem nestled on the @IUPUI campus. The @BradburyCenter provides amazing resources for researchers, student… https://t.co/kCXFK9SMwN"
39,2019-12-13 17:59:46,RT @btownpedro: @Oakes007 talks about @IRLeaders at @IUSPH. A key takeaway was the value of participatory research which ensures community…
40,2019-12-13 17:59:12,RT @btownpedro: @Oakes007 talks about @IRLeaders at @IUSPH. A key takeaway was the value of participatory research which ensures community…
41,2019-12-13 17:48:52,RT @icanatiu: Thanks @paydar for representing Indiana University at such a special event that we hold close to our hearts ❤️ Your words wer…
42,2019-12-13 17:45:19,@Oakes007 talks about @IRLeaders at @IUSPH. A key takeaway was the value of participatory research which ensures co… https://t.co/RiiZWpHbvs
43,2019-12-13 17:44:41,On our way! We are headed to @IndianaUniv to see our daughter and to enjoy @SNCmusic concert! https://t.co/zCTrOIqmY8
44,2019-12-13 17:09:33,"RT @noonedition: In the year leading up to Indiana University's 200-year anniversary, the school has seen its fair share of ups and downs i…"
45,2019-12-13 16:52:37,"RT @IUNewsroom: Tune in to @noonedition today to hear @IndianaUniv President McRobbie talk @IUbicentennial.

https://t.co/J7sN5rQ8PT"
46,2019-12-13 16:47:39,RT @BenjaminDHunter: Great reminder that you always need to be prepared and ready to act. https://t.co/n0fiU9b2Uc
47,2019-12-13 16:40:18,".@IndianaUniv Reveals New Strategic Plan to Guide Care, Preservation, Use of More than 220 Collections |… https://t.co/l0tSvkau41"
48,2019-12-13 16:39:27,"RT @IUNewsroom: Tune in to @noonedition today to hear @IndianaUniv President McRobbie talk @IUbicentennial.

https://t.co/J7sN5rQ8PT"
49,2019-12-13 16:29:23,RT @IUMedSchool: Results from @IndianaUniv School of Medicine in @SABCSSanAntonio plenary session show the ability to predict relapse &amp; dis…
50,2019-12-13 16:26:38,RT @IUMedSchool: Results from @IndianaUniv School of Medicine in @SABCSSanAntonio plenary session show the ability to predict relapse &amp; dis…
51,2019-12-13 16:19:41,RT @HLuceFdn: Attn scholars at the intersection of religion &amp; nature/science/tech! The Center for Religion and the Human at @IndianaUniv se…
52,2019-12-13 16:19:28,"RT @IUNewsroom: Tune in to @noonedition today to hear @IndianaUniv President McRobbie talk @IUbicentennial.

https://t.co/J7sN5rQ8PT"
53,2019-12-13 16:16:37,"RT @IUNewsroom: Tune in to @noonedition today to hear @IndianaUniv President McRobbie talk @IUbicentennial.

https://t.co/J7sN5rQ8PT"
